number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_lstm_hidden_size,params_onset_weight,params_positive_weight,params_use_lstm,state
0,0.7146325281085655,2025-05-04 10:37:42.168236,2025-05-04 10:40:07.865246,0 days 00:02:25.697010,0.304906185077483,0.002103165561450347,,0.6724888730307069,5.27936653776793,False,COMPLETE
1,0.7144634628596014,2025-05-04 10:40:08.024993,2025-05-04 10:42:30.670485,0 days 00:02:22.645492,0.3187953208226538,0.0010753164677591172,,0.6213423928540847,12.578569856401707,False,COMPLETE
2,0.7030998623595388,2025-05-04 10:42:30.834622,2025-05-04 10:44:54.365625,0 days 00:02:23.531003,0.42867632209407913,0.004458143451497378,,0.7562597250320111,13.703451480056673,False,COMPLETE
3,0.6848127743917071,2025-05-04 10:44:54.526309,2025-05-04 10:48:30.002095,0 days 00:03:35.475786,0.3283646944126195,0.005686867621396648,128.0,0.6846059572871085,14.973391871300247,True,COMPLETE
4,0.7142897156584302,2025-05-04 10:48:30.162336,2025-05-04 10:50:53.100262,0 days 00:02:22.937926,0.18809562963649032,0.0013824497713957687,,0.7127075348959435,22.470234161167202,False,COMPLETE
5,0.6935210925503644,2025-05-04 10:50:53.260452,2025-05-04 10:54:08.312226,0 days 00:03:15.051774,0.3108661937588879,0.000740691368972583,256.0,0.6520619115136282,28.962209632828635,True,COMPLETE
6,0.6801676673525818,2025-05-04 10:54:08.492048,2025-05-04 10:57:38.462774,0 days 00:03:29.970726,0.13173692312247665,0.0017463804707731827,512.0,0.6525331878562132,24.29848857285347,True,COMPLETE
7,0.7015182325324248,2025-05-04 10:57:38.617146,2025-05-04 10:59:05.210950,0 days 00:01:26.593804,0.13215117320125058,0.0012663985490528606,,0.8339976839810394,20.46257870096418,False,COMPLETE
8,0.6869543407960552,2025-05-04 10:59:05.369840,2025-05-04 11:02:22.902269,0 days 00:03:17.532429,0.21430646299463857,0.001259437464000573,256.0,0.750850264688482,25.44177895214824,True,COMPLETE
9,0.6865881546520584,2025-05-04 11:02:23.062827,2025-05-04 11:05:52.812379,0 days 00:03:29.749552,0.2901781829778691,0.0017947636108265328,512.0,0.74391005082967,24.81255471701427,True,COMPLETE
10,0.6850200951816254,2025-05-04 11:05:52.981366,2025-05-04 11:06:41.165546,0 days 00:00:48.184180,0.47020040559101145,0.0037330977085889383,,0.8833977576643357,5.089526780533308,False,COMPLETE
11,0.7190334837146127,2025-05-04 11:06:41.328845,2025-05-04 11:09:06.568661,0 days 00:02:25.239816,0.37496905755364673,0.0005758236878727518,,0.6021903319694686,6.042207435541853,False,COMPLETE
12,0.7157882645450059,2025-05-04 11:09:06.737773,2025-05-04 11:11:30.394921,0 days 00:02:23.657148,0.3932901829530837,0.0005419513131380315,,0.6033794188104679,5.611324754429839,False,COMPLETE
13,0.7194484808976723,2025-05-04 11:11:30.554104,2025-05-04 11:13:55.539323,0 days 00:02:24.985219,0.3885862150900681,0.0005480882758345597,,0.6064326494257682,9.964426074371044,False,COMPLETE
14,0.6936250979244248,2025-05-04 11:13:55.705520,2025-05-04 11:14:43.912684,0 days 00:00:48.207164,0.3886474542763333,0.0005469926741394574,,0.6021291508610246,9.771788650139646,False,COMPLETE
15,0.7060553421318436,2025-05-04 11:14:44.075601,2025-05-04 11:16:20.555563,0 days 00:01:36.479962,0.4896601330213686,0.0008378371725324178,,0.8029575543651091,9.293075451269846,False,COMPLETE
16,0.6966863700924049,2025-05-04 11:16:20.719844,2025-05-04 11:17:18.039412,0 days 00:00:57.319568,0.39189337895142784,0.000742892982497318,,0.6358382120070994,9.35515074108445,False,COMPLETE
17,0.6861861672242378,2025-05-04 11:17:18.203858,2025-05-04 11:18:06.276837,0 days 00:00:48.072979,0.4322833987735387,0.002818910177273515,,0.708565207016337,18.683390052008434,False,COMPLETE
18,0.6821366357702336,2025-05-04 11:18:06.437964,2025-05-04 11:18:54.242843,0 days 00:00:47.804879,0.3570801564659322,0.007878956975029936,,0.6872311909316352,11.45908703853244,False,COMPLETE
19,0.6903377703229937,2025-05-04 11:18:54.404902,2025-05-04 11:19:42.152935,0 days 00:00:47.748033,0.2644340812734929,0.0009112740815342911,,0.6305545906359276,16.10480166792287,False,COMPLETE
20,0.7262791742879082,2025-05-04 11:19:42.329378,2025-05-04 11:22:06.136567,0 days 00:02:23.807189,0.3563744473997142,0.0005233319197009338,,0.818913636965298,8.135821474825104,False,COMPLETE
21,0.7234584793153892,2025-05-04 11:22:06.305062,2025-05-04 11:24:30.034411,0 days 00:02:23.729349,0.35404023631031145,0.000518206858379163,,0.8205330134947987,7.528613388032225,False,COMPLETE
22,0.7213815272999287,2025-05-04 11:24:30.204257,2025-05-04 11:26:54.036030,0 days 00:02:23.831773,0.43702525843082707,0.0006547216377355446,,0.8190353384039915,7.768184689137653,False,COMPLETE
23,0.6954259269041952,2025-05-04 11:26:54.219382,2025-05-04 11:27:51.574088,0 days 00:00:57.354706,0.4284177123599413,0.0006742299526898367,,0.8254812364686678,7.833277539665971,False,COMPLETE
24,0.6919328738124821,2025-05-04 11:27:51.744573,2025-05-04 11:28:39.742451,0 days 00:00:47.997878,0.34910305279779036,0.0006935219229124213,,0.877633535411671,7.425879796800297,False,COMPLETE
25,0.7009528856158459,2025-05-04 11:28:39.917615,2025-05-04 11:29:47.493024,0 days 00:01:07.575409,0.24243490209902124,0.0009771534624722139,,0.7900333293669125,11.671019957327207,False,COMPLETE
26,0.6959856479990938,2025-05-04 11:29:47.658854,2025-05-04 11:30:58.614620,0 days 00:01:10.955766,0.4746952916659159,0.0006356932266984017,64.0,0.8516707668312223,7.667881332332782,True,COMPLETE
27,0.6953357341963377,2025-05-04 11:30:58.809599,2025-05-04 11:31:58.729216,0 days 00:00:59.919617,0.4364593487145618,0.0008351692193789987,,0.7872021984652102,17.320272875163873,False,COMPLETE
28,0.6925275660431075,2025-05-04 11:31:58.908806,2025-05-04 11:32:48.705387,0 days 00:00:49.796581,0.3437423822765997,0.0005117285630770905,,0.8204760553231903,7.690064125304583,False,COMPLETE
29,0.6917663509034662,2025-05-04 11:32:48.900101,2025-05-04 11:33:38.285037,0 days 00:00:49.384936,0.27934833502312756,0.0024813743718562105,,0.8644871638166328,13.303194948348853,False,COMPLETE
30,0.6913285337916624,2025-05-04 11:33:38.456711,2025-05-04 11:34:27.353263,0 days 00:00:48.896552,0.460840475646238,0.0010903350577421622,,0.7676087338842783,10.567802182938339,False,COMPLETE
31,0.7044106578698682,2025-05-04 11:34:27.535294,2025-05-04 11:35:56.474880,0 days 00:01:28.939586,0.4107578678986378,0.0006282390511008296,,0.8439148523870442,8.930233263847592,False,COMPLETE
32,0.7118569271359384,2025-05-04 11:35:56.672484,2025-05-04 11:37:48.200361,0 days 00:01:51.527877,0.35914389393072615,0.0005151872362588018,,0.8043028800419063,6.661750513098536,False,COMPLETE
33,0.6958397453170222,2025-05-04 11:37:48.397503,2025-05-04 11:38:50.373574,0 days 00:01:01.976071,0.3199985567446039,0.0005012860793796764,,0.899469497821042,11.47981932363234,False,COMPLETE
34,0.6996007543004178,2025-05-04 11:38:50.579695,2025-05-04 11:39:50.865824,0 days 00:01:00.286129,0.4505116475861422,0.0007722934323103499,,0.7688922731066303,13.828159490785087,False,COMPLETE
35,0.6888661412727033,2025-05-04 11:39:51.056015,2025-05-04 11:40:41.401014,0 days 00:00:50.344999,0.4038899717675254,0.001010282131799893,,0.7292213229760909,8.638030782863543,False,COMPLETE
36,0.6990263113721608,2025-05-04 11:40:41.592735,2025-05-04 11:41:41.366356,0 days 00:00:59.773621,0.3734322863204855,0.0006747194439864742,,0.8085815518022206,15.129829934419213,False,COMPLETE
37,0.7017975785303938,2025-05-04 11:41:41.558386,2025-05-04 11:43:09.657062,0 days 00:01:28.098676,0.4153025363806859,0.0006254053733221834,64.0,0.8538022507823602,10.445348715444277,True,COMPLETE
38,0.6921345257453893,2025-05-04 11:43:09.848034,2025-05-04 11:43:56.907540,0 days 00:00:47.059506,0.3061855555857701,0.0015228398332019966,,0.779139911932453,12.530374694393103,False,COMPLETE
39,0.7261311590926609,2025-05-04 11:43:57.085617,2025-05-04 11:47:39.137009,0 days 00:03:42.051392,0.3313282449185851,0.0008371655997456834,128.0,0.8345291851191321,6.805417673258617,True,COMPLETE
40,0.7196605205904067,2025-05-04 11:47:39.337428,2025-05-04 11:51:19.577390,0 days 00:03:40.239962,0.32599355804876623,0.00108201281860881,128.0,0.8414244913886455,6.795299357844623,True,COMPLETE
41,0.6971751054254395,2025-05-04 11:51:19.770191,2025-05-04 11:52:48.840716,0 days 00:01:29.070525,0.26558514053318216,0.0012454696524970103,128.0,0.8349557472521052,6.4861032876352445,True,COMPLETE
42,0.727862802386833,2025-05-04 11:52:49.036046,2025-05-04 11:56:31.596765,0 days 00:03:42.560719,0.3294153974055889,0.0008395163220789483,128.0,0.8208951745004699,5.337254526159434,True,COMPLETE
43,0.7217252609284438,2025-05-04 11:56:31.791079,2025-05-04 12:00:08.182306,0 days 00:03:36.391227,0.3380959943870297,0.0008655548158201765,128.0,0.8205108716592646,5.038428146013264,True,COMPLETE
44,0.7247958937759111,2025-05-04 12:00:08.365611,2025-05-04 12:03:48.516193,0 days 00:03:40.150582,0.29672406635713616,0.0008559334268395878,128.0,0.8705548887145383,5.769332097896137,True,COMPLETE
45,0.6891267800350208,2025-05-04 12:03:48.724614,2025-05-04 12:05:03.712069,0 days 00:01:14.987455,0.2945201362961875,0.0016047463253712352,128.0,0.8675092310894708,5.526838737477697,True,COMPLETE
46,0.6966536650865724,2025-05-04 12:05:03.931644,2025-05-04 12:06:33.416203,0 days 00:01:29.484559,0.23637812879559222,0.0011602372798637714,128.0,0.8955065485073271,6.5178405179498045,True,COMPLETE
47,0.6770735485947819,2025-05-04 12:06:33.625817,2025-05-04 12:07:51.002983,0 days 00:01:17.377166,0.17677892521151561,0.002093593936167199,128.0,0.8636663320290936,28.86642877405752,True,COMPLETE
48,0.7229874638472849,2025-05-04 12:07:51.215146,2025-05-04 12:11:37.874921,0 days 00:03:46.659775,0.30949867680971643,0.0007786268124449595,128.0,0.8830071950461544,8.486255946041451,True,COMPLETE
49,0.6888846672381506,2025-05-04 12:11:38.082462,2025-05-04 12:12:50.663263,0 days 00:01:12.580801,0.3710540340630152,0.0013622338701599443,128.0,0.8014017210087531,5.03014467649796,True,COMPLETE
